,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
1238,1238,marcorubio,1/13/2016,106,256,,,,"""687480529524899840""",https://twitter.com/marcorubio/status/687480529524899840,"""ISIS must be confronted for what they are: a growing and looming threat. http:// rub.io/7hk4Ak""",0,0
1239,1239,marcorubio,1/13/2016,368,669,,,,"""687464573536870400""",https://twitter.com/marcorubio/status/687464573536870400,"""The U.S. sailors were taken by Iran because President Obama is weak. https:// amp.twimg.com/v/90a232f8-142 b-4a42-a6cd-2213778f2ffe """,-0.375,0
1240,1240,marcorubio,1/13/2016,201,515,,,,,,"""Nobody is above the law not even Hillary Clinton. http:// rub.io/yoK9qv"";;;;""687449349790543873"";https://twitter.com/marcorubio/status/687449349790543873",0,0
1241,1241,marcorubio,1/13/2016,99,155,,,,,,"""Believe it or not multiple Republican candidates for president support new taxes on the American people. http:// rub.io/AzGoQ7"";;;;""687434709324804096"";https://twitter.com/marcorubio/status/687434709324804096",0.045454545,0
1242,1242,marcorubio,1/13/2016,100,291,,,,"""687418054326784002""",https://twitter.com/marcorubio/status/687418054326784002,"""A great crowd at our rally in Mt. Pleasant SC today! Thanks for the warm welcome. pic.twitter.com/8LaPHGcYLQ""",0.626666667,0
1243,1243,marcorubio,1/13/2016,119,298,,,,"""687408285335588864""",https://twitter.com/marcorubio/status/687408285335588864,"""This president has always underestimated the threat of ISIS. http:// rub.io/7hk4Ak""",0,0
1244,1244,marcorubio,1/13/2016,80,183,,,,"""687393941969186817""",https://twitter.com/marcorubio/status/687393941969186817,"""The reason Hillary Clinton is attacking me this time is absurd: http:// rub.io/r7emkz""",-0.5,0
1245,1245,marcorubio,1/13/2016,242,610,,,,"""687385000744845312""",https://twitter.com/marcorubio/status/687385000744845312,"""Obamacare must be repealed and replaced. It's hurting Americans all over our country: http:// rub.io/x64f93 pic.twitter.com/lurRSEvGw6""",0,0
1246,1246,marcorubio,1/13/2016,317,516,,,,"""687370556451102720""",https://twitter.com/marcorubio/status/687370556451102720,"""Iran held and humiliated our sailors -- knowing they can get away with anything as long as Obama is in office. https:// amp.twimg.com/v/0c3bfebb-1b1 1-4041-958c-d71a87ac5413 """,-0.05,0
1247,1247,marcorubio,1/13/2016,132,275,,,,"""687347650153168896""",https://twitter.com/marcorubio/status/687347650153168896,"""Here's why I think Hillary is completely disqualified from being president: http:// rub.io/yoK9qv""",0.1,0
1248,1248,marcorubio,1/13/2016,62,133,,,,"""687337122462711811""",https://twitter.com/marcorubio/status/687337122462711811,"""Proud to have this prominent conservative leader on our team: http:// rub.io/ztSKHN""",0.65,0
1249,1249,marcorubio,1/13/2016,23,48,,,,,,"""@Kadeewoodward I hope you have a wonderful birthday Kadee!"";;@Kadeewoodward;;""687312939360096256"";https://twitter.com/marcorubio/status/687312939360096256",1,0
1250,1250,marcorubio,1/13/2016,78,158,,@megynkelly,#SOTU,"""687306841030787072""",https://twitter.com/marcorubio/status/687306841030787072,""". @megynkelly asked me if I think Obama understated the ISIS threat in his #SOTU last night. My response: http:// rub.io/7hk4Ak""",0,0
1251,1251,marcorubio,1/13/2016,142,348,,,,"""687285413690605568""",https://twitter.com/marcorubio/status/687285413690605568,"""The purpose of my presidency will be to restore the American Dream. http:// rub.io/nXLkAS""",0,0
1252,1252,marcorubio,1/13/2016,283,604,,,,"""687267626515435520""",https://twitter.com/marcorubio/status/687267626515435520,"""This president has been the single most divisive political figure this country has had over the last decade. https:// amp.twimg.com/v/0ae9f858-dd4 9-4ac9-a2f5-a105b0c5d997 """,0.107142857,0
1253,1253,marcorubio,1/12/2016,199,487,,@megynkelly @foxnews,#SOTU,"""687144240833400834""",https://twitter.com/marcorubio/status/687144240833400834,"""I talked with @megynkelly tonight on @foxnews about Obama's final State of the Union address. #SOTU https:// amp.twimg.com/v/335d16e9-c2e e-4ee5-829d-e6457dcb4306 """,0,0
1254,1254,marcorubio,1/12/2016,470,979,,,#SOTU,"""687124557812133889""",https://twitter.com/marcorubio/status/687124557812133889,"""America needs a real commander-in-chief and a president who will keep us safe. #SOTU pic.twitter.com/kkdS8RMNzM""",0.35,0
