,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
981,981,JohnKasich,3/22/2016,631,1184,,,#Brussels,"""712245118632202240""",https://twitter.com/JohnKasich/status/712245118632202240,"""Gov. John Kasich's statement on the terrorist attacks in #Brussels . pic.twitter.com/6gwCCMwJcy""        ",0,254359
982,982,JohnKasich,3/21/2016,46,203,,,,,,"""Thanks all! Keep it up. #UtahCaucus #KasichForUs https:// twitter.com/TeamJohnKasich /status/712100018702970880 "";;;#UtahCaucus #KasichForUs;""712100825120817152"";https://twitter.com/JohnKasich/status/712100825120817152        ",0.2,253175
983,983,JohnKasich,3/21/2016,489,796,,,,"""712092478418059264""",https://twitter.com/JohnKasich/status/712092478418059264,"""RealClearPolitics poll averages show John Kasich is the only Republican capable of defeating Hillary Clinton. pic.twitter.com/CKDzx79VT8""        ",0.1,253175
984,984,JohnKasich,3/21/2016,239,431,,,,"""712077304558649344""",https://twitter.com/JohnKasich/status/712077304558649344,"""BREAKING: 2 new polls out tonight! Only John Kasich defeats Hillary Clinton in November. http://www. cbsnews.com/news/donald-tr ump-and-hillary-clinton-viewed-unfavorably-by-majority-cbsnyt-poll/  http://www. cnn.com/2016/03/21/pol itics/2016-election-poll-results-toplines/index.html ""        ",0.068181818,253175
985,985,JohnKasich,3/21/2016,41,129,,,#TeamKasich #Kasich4Us,"""712036258294456320""",https://twitter.com/JohnKasich/status/712036258294456320,"""Join #TeamKasich today! http:// JohnKasich.com #Kasich4Us""        ",0,253175
986,986,JohnKasich,3/21/2016,105,289,,,#AIPAC,"""712033345467764736""",https://twitter.com/JohnKasich/status/712033345467764736,"""Ready to support our allies & lead with confidence from Day One. #AIPAC pic.twitter.com/LUJfQBk6ZB""        ",0.2,253175
987,987,JohnKasich,3/21/2016,99,305,,,#AIPAC,"""712032256840364033""",https://twitter.com/JohnKasich/status/712032256840364033,"""No more taking our only democratic ally in the Middle East for granted. Our support for Israel must be unwavering. #AIPAC""        ",-0.083333333,253175
988,988,JohnKasich,3/21/2016,46,177,,,#AIPAC,"""712030824447807490""",https://twitter.com/JohnKasich/status/712030824447807490,"""Gov. Kasich is proud to speak on the incredible importance of our relationship with Israel. #AIPAC https:// twitter.com/AIPAC/status/7 12007593913393153 ""        ",0.85,253175
989,989,JohnKasich,3/21/2016,244,629,,,,,,"""When John Kasich came into office Ohio's rainy-day fund was just 89 cents. Today it's $2 billion  all while cutting taxes by $5 billion."";;;;""712016694047330304"";https://twitter.com/JohnKasich/status/712016694047330304       ",-0.6,253175
990,990,JohnKasich,3/21/2016,211,469,,,,"""711981491119628291""",https://twitter.com/JohnKasich/status/711981491119628291,"""This is what it looks like when you build your national security team out of actual experts. http:// JohnKasich.com/NationalSecuri ty/  pic.twitter.com/O2oYIItqbk""        ",0,253175
991,991,JohnKasich,3/21/2016,63,227,,,,,,"""Are you ready to caucus for @JohnKasich tomorrow Utah? Find your caucus location here! https:// vote.utah.gov/vote/menu/index pic.twitter.com/nxQ0bojixT"";;@JohnKasich;;""711952867188469760"";https://twitter.com/JohnKasich/status/711952867188469760        ",0.2,253175
992,992,JohnKasich,3/21/2016,213,562,,,,"""711924882309709824""",https://twitter.com/JohnKasich/status/711924882309709824,"""The only electable Republican in November is also the best one for the job. Learn More: http:// JohnKasich.com https:// amp.twimg.com/v/16a85e34-ede 0-46b9-b472-9ec6b49a95ba ""        ",0.5,253175
993,993,JohnKasich,3/21/2016,59,195,,,,,,"""Great to see opportunity expanding in Ohio -- more than 90000 available jobs paying $50 000 or more on http:// OhioMeansJobs.com"";;;;""711910756586037249"";https://twitter.com/JohnKasich/status/711910756586037249       ",0.55,253175
994,994,JohnKasich,3/20/2016,373,909,,,,"""711634013371248640""",https://twitter.com/JohnKasich/status/711634013371248640,"""There's so much talk about process and politics -- how about 'who will actually do a good job as president'? https:// amp.twimg.com/v/a4d7fcb8-ad5 6-4190-8f07-670ba36d50a8 ""        ",0.45,252043
995,995,JohnKasich,3/20/2016,36,222,,,,"""711539175904784385""",https://twitter.com/JohnKasich/status/711539175904784385,"""Tune in this morning to see John Kasich! pic.twitter.com/zPJgRHLheS""        ",0,252043
996,996,JohnKasich,3/19/2016,162,697,,,,,,"""Appreciate your support Mr. Reagan! https:// twitter.com/reaganworld/st atus/711381789655236609 "";;;;""711385088597073920"";https://twitter.com/JohnKasich/status/711385088597073920        ",0,251850
997,997,JohnKasich,3/19/2016,69,246,,,,"""711378699841474560""",https://twitter.com/JohnKasich/status/711378699841474560,"""Make sure you tune in tomorrow AM! pic.twitter.com/QUe6BAjfVv""        ",0.5,251850
998,998,JohnKasich,3/19/2016,90,522,,,,,,"""Another fantastic Utah crowd this time in St. George. #KasichForUs pic.twitter.com/hmjyPwlvhe"";;;#KasichForUs;""711344568478916608"";https://twitter.com/JohnKasich/status/711344568478916608        ",0.4,251850
999,999,JohnKasich,3/19/2016,73,229,,,,,,"""It's almost time to vote Utah! Find your caucus location & remember who can win in November (hint: @JohnKasich ) https:// vote.utah.gov/vote/menu/index"";;@JohnKasich;;""711333111745941506"";https://twitter.com/JohnKasich/status/711333111745941506        ",0.8,251850
1000,1000,JohnKasich,3/19/2016,91,356,,,,,,"""But let me be clear any SCOTUS candidate who doesn't respect the 2nd amendment would be a non-starter. -John 2/2"";;;;""711294193017212930"";https://twitter.com/JohnKasich/status/711294193017212930        ",0.05,251850
1001,1001,JohnKasich,3/19/2016,82,375,,,,,,"""As president it will be my duty to give proper consideration to all legitimate SCOTUS candidates. -John 1/2"";;;;""711294105935028224"";https://twitter.com/JohnKasich/status/711294105935028224        ",0,251850
1002,1002,JohnKasich,3/19/2016,99,389,,,,"""711280776600543232""",https://twitter.com/JohnKasich/status/711280776600543232,"""Real experience that will make America proud. pic.twitter.com/yw85uGPYDg""        ",0.5,251850
1003,1003,JohnKasich,3/19/2016,273,639,,,,"""711239992014548993""",https://twitter.com/JohnKasich/status/711239992014548993,"""Only one of these candidates can defeat Hillary Clinton. Join our team: http:// JohnKasich.com pic.twitter.com/g1pay8WhEM""        ",0,251850
1004,1004,JohnKasich,3/18/2016,188,741,,@JohnKasich,#KasichForUs,"""711017879915929601""",https://twitter.com/JohnKasich/status/711017879915929601,"""Now that's a welcome! @JohnKasich 's message is resonating in Utah. #KasichForUs pic.twitter.com/cIyjjsMPzh""        ",0.8,250638
1005,1005,JohnKasich,3/18/2016,243,794,,,,,,"""On Tuesday @JohnKasich received more votes than any other candidate in an Ohio Republican primary EVER. As goes Ohio so goes the nation."";;@JohnKasich;;""710968506976698370"";https://twitter.com/JohnKasich/status/710968506976698370        ",0.258333333,250638
1006,1006,JohnKasich,3/18/2016,278,604,,@JohnKasich,,"""710965893552054272""",https://twitter.com/JohnKasich/status/710965893552054272,"""Want to win in November? So do we. Only @JohnKasich can defeat Hillary in November. pic.twitter.com/ch2MG4CrIj""        ",0.4,250638
1007,1007,JohnKasich,3/18/2016,109,289,,@cbs @JohnKasich,,"""710964726499581952""",https://twitter.com/JohnKasich/status/710964726499581952,""". @cbs says @JohnKasich is the ONLY candidate who can stop Trump. See why: https://www. johnkasich.com/blog-posts/why -john-kasich-is-the-only-one-who-can-stop-donald-trump/ ""        ",0,250638
1008,1008,JohnKasich,3/18/2016,16,85,,@JohnKasich @hardball_chris,,"""710964332159438849""",https://twitter.com/JohnKasich/status/710964332159438849,"""Airing NOW: Watch @JohnKasich on MSBNC @hardball_chris .""        ",0,250638
1009,1009,JohnKasich,3/18/2016,158,455,,,,"""710956771452387328""",https://twitter.com/JohnKasich/status/710956771452387328,"""What was true last week remains true today: Conservative record of accomplishments Can defeat Hillary in Nov https:// amp.twimg.com/v/252a470e-fe6 b-46b2-99cf-c3d14760def8 ""        ",0.233333333,250638
1010,1010,JohnKasich,3/18/2016,33,111,,@JohnKasich @hardball_chris,,"""710937559883517952""",https://twitter.com/JohnKasich/status/710937559883517952,"""Don't miss @JohnKasich on MSNBC's Hardball w/ Chris Matthews tonight at 7PM EDT! @hardball_chris""        ",0,250638
1011,1011,JohnKasich,3/18/2016,208,502,,,,,,"""Remember only John Kasich can win in November. pic.twitter.com/5g8rsxkzhx"";;;;""710925517810245638"";https://twitter.com/JohnKasich/status/710925517810245638        ",0.4,250638
1012,1012,JohnKasich,3/18/2016,215,455,,,,"""710922282621775872""",https://twitter.com/JohnKasich/status/710922282621775872,"""John Kasich has proved them wrong before. He'll prove them wrong again. https:// amp.twimg.com/v/ccb4c720-356 a-410d-9278-cedd5f097dd4 ""        ",-0.5,250638
1013,1013,JohnKasich,3/18/2016,231,529,,,,"""710894564735778817""",https://twitter.com/JohnKasich/status/710894564735778817,"""You should hear this great story that reflects the kind of leadership John Kasich will provide as president. https:// amp.twimg.com/v/930b59b8-d8e b-4969-b9bf-41126580c1b9 ""        ",0.7,250638
1014,1014,JohnKasich,3/18/2016,194,611,,,,"""710865316566450177""",https://twitter.com/JohnKasich/status/710865316566450177,"""Who's ready to take on the immense responsibility that is the presidency? There's only one. John Kasich. pic.twitter.com/yuJjq3WZzE""        ",0.066666667,250638
1015,1015,JohnKasich,3/18/2016,302,643,,,,,,"""Per RCP in swing states where all three candidates have been polled vs Clinton  Cruz and Trump lose OH  PA and NH. Kasich wins all three."";;;;""710829472304521216"";https://twitter.com/JohnKasich/status/710829472304521216      ",0.3,250638
1016,1016,JohnKasich,3/17/2016,534,1233,,,,"""710601479279628289""",https://twitter.com/JohnKasich/status/710601479279628289,"""Just one candidate is in a strong position to defeat Hillary Clinton in November. John Kasich. pic.twitter.com/lhMkU5DYSE""        ",0.433333333,248616
1017,1017,JohnKasich,3/17/2016,302,704,,,,"""710550913371344896""",https://twitter.com/JohnKasich/status/710550913371344896,"""""They said it couldn't be done. And we proved them wrong."" https:// amp.twimg.com/v/9282ca94-0f8 6-4c6b-a044-640dcc9d6b02 ""        ",-0.5,248616
1018,1018,JohnKasich,3/17/2016,471,1257,,,,"""710499339521683459""",https://twitter.com/JohnKasich/status/710499339521683459,"""I have faith the American people want civilized debate over violence. It's what's kept our nation the strongest in the world. (4/4) -John""        ",0.2,248616
1019,1019,JohnKasich,3/17/2016,509,1042,,,,"""710499289517178881""",https://twitter.com/JohnKasich/status/710499289517178881,"""A true leader urges peaceful debate over violence. Leadership requires responsibility (3/4) -John""        ",0.3,248616
1020,1020,JohnKasich,3/17/2016,383,935,,,,"""710499222542487552""",https://twitter.com/JohnKasich/status/710499222542487552,"""This implicit acceptance of violence is the kind of rhetoric that's pulling people apart. (2/4) -John""        ",0.6,248616
1021,1021,JohnKasich,3/17/2016,535,1253,,,,"""710499163176357889""",https://twitter.com/JohnKasich/status/710499163176357889,"""Donald Trump said there could be riots if he's ""denied"" the GOP nom in a contested convention. That's more unacceptable language.(1/4) -John""        ",0.5,248616
1022,1022,JohnKasich,3/17/2016,109,413,,@GovMikeLeavitt,,"""710478498872369152""",https://twitter.com/JohnKasich/status/710478498872369152,"""MAJOR UTAH ENDORSEMENT: Utah's fmr. 3-term @GovMikeLeavitt is backing John Kasich for president. pic.twitter.com/yN7iS1k8GB""        ",0.0625,248616
1023,1023,JohnKasich,3/16/2016,189,383,,,,"""710255060609929217""",https://twitter.com/JohnKasich/status/710255060609929217,"""ASSOCIATED PRESS: ""[Ted Cruz] has no realistic path to win a majority during the primaries.""Ã¹ -staff https://www. johnkasich.com/blog-posts/ass ociated-press-cruz-has-no-realistic-path/ ""        ",0.358333333,245488
1024,1024,JohnKasich,3/16/2016,118,317,,,,"""710208704327581696""",https://twitter.com/JohnKasich/status/710208704327581696,"""2 of our ads began airing in Utah today! Check them out: ""America: Never Give Up"" https:// goo.gl/hVdVrb ""Healing"" https:// goo.gl/s0WIqz""        ",0,245488
1025,1025,JohnKasich,3/16/2016,183,523,,,,"""710165633032261632""",https://twitter.com/JohnKasich/status/710165633032261632,"""NEW VIDEO: All the way to Cleveland! https:// amp.twimg.com/v/08e2a490-c8b 2-48b0-995f-f29f1eb51df0 ""        ",0.136363636,245488
1026,1026,JohnKasich,3/16/2016,17,121,,,,"""710140176887107585""",https://twitter.com/JohnKasich/status/710140176887107585,"""Tune in now to see John Kasich's event LIVE in Philadelphia! http:// 6abc.com/live/23387/""        ",0.136363636,245488
1027,1027,JohnKasich,3/16/2016,204,859,,,,"""710139253326553088""",https://twitter.com/JohnKasich/status/710139253326553088,"""John Kasich's visit to Philadelphia has drawn overflow crowds. Incredible response! pic.twitter.com/JD1wCckBXH""        ",0.9,245488
1028,1028,JohnKasich,3/16/2016,376,1540,,,,"""710105710575489025""",https://twitter.com/JohnKasich/status/710105710575489025,"""That moment when you win a major primary state and everything changes. https:// amp.twimg.com/v/513a5acd-464 1-4c1a-8c50-0b5ed7fe1370 ""        ",0.420833333,245488
1029,1029,JohnKasich,3/15/2016,169,842,,,,,,"""Thanks for all your help Governor! https:// twitter.com/schwarzenegger /status/709947749815300096 "";;;;""709954452191649792"";https://twitter.com/JohnKasich/status/709954452191649792        ",0.2,237024
1030,1030,JohnKasich,3/15/2016,302,1012,,,,"""709953860920582144""",https://twitter.com/JohnKasich/status/709953860920582144,"""Game changer. Join the fight. http:// JohnKasich.com pic.twitter.com/ATU2FyCuVw""        ",-0.4,237024
1031,1031,JohnKasich,3/15/2016,806,1408,,,,"""709924268855918592""",https://twitter.com/JohnKasich/status/709924268855918592,"""Want to defeat Hillary Clinton? http:// JohnKasich.com/Donate pic.twitter.com/wpxTZOhULw""        ",0,237024
1032,1032,JohnKasich,3/15/2016,74,216,,,,"""709921342330634240""",https://twitter.com/JohnKasich/status/709921342330634240,"""Check out http:// JohnKasich.com/Events to see where we're heading next.""        ",0,237024
1033,1033,JohnKasich,3/15/2016,591,1609,,,,"""709914988484366337""",https://twitter.com/JohnKasich/status/709914988484366337,"""""We must never underestimate our ability to change the world."" pic.twitter.com/IMC6hGwxld""        ",0,237024
1034,1034,JohnKasich,3/15/2016,237,1195,,,,"""709914277960876035""",https://twitter.com/JohnKasich/status/709914277960876035,"""""It's been my intention to make you proud."" pic.twitter.com/LP63es0QPu""        ",0.8,237024
1035,1035,JohnKasich,3/15/2016,628,1677,,,,,,"""Here we go America. Chip in and let's march onward to victory. http:// JohnKasich.com/Donate pic.twitter.com/0d2wPMp6pz"";;;;""709909339532894209"";https://twitter.com/JohnKasich/status/709909339532894209        ",0,237024
