,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
374,374,tedcruz,9/3/2016,501,513,,,,"""772142339334766592""",https://twitter.com/tedcruz/status/772142339334766592,"""FBI: Aide destroyed 2 of Clinton's phones by 'breaking them in half' http://www. businessinsider.com/how-hillary-cl inton-aide-destroyed-phones-2016-9  https://www. youtube.com/watch?v=FECIYl o3KRY """,-0.16666666666666666,1537998
375,375,tedcruz,9/2/2016,354,415,,,,"""771799634884911108""",https://twitter.com/tedcruz/status/771799634884911108,"""https://www. youtube.com/watch?v=FECIYl o3KRY  https:// twitter.com/benshapiro/sta tus/771788110573080577 """,0.0,1536689
376,376,tedcruz,9/2/2016,748,839,,,,"""771746304972161026""",https://twitter.com/tedcruz/status/771746304972161026,"""We have <1 month to act to keep the internet under US control https://www. conservativereview.com/commentary/201 6/08/congress-has-just-one-month-to-keep-the-internet-under-us-control  My Protecting Internet Freedom Act would do just that""",0.0,1536689
377,377,tedcruz,9/2/2016,138,548,,,,"""771735233486057473""",https://twitter.com/tedcruz/status/771735233486057473,"""Finally... college football is back! Who wins it all this season? pic.twitter.com/Fxdney15A2""",0.1,1536689
378,378,tedcruz,9/1/2016,190,520,,@DPDChief,,"""771509629649944576""",https://twitter.com/tedcruz/status/771509629649944576,"""Wishing @DPDChief David Brown the best in his retirement. On behalf of all Texans we thank him for his service: https://www. facebook.com/tedcruzpage/po sts/10154413022797464 """,1.0,1535225
379,379,tedcruz,9/1/2016,401,643,,,,"""771411478121291776""",https://twitter.com/tedcruz/status/771411478121291776,"""Absolute right. Fundamentally corrupt. https:// twitter.com/jimgeraghty/st atus/771402433201405952 """,-0.004761904761904763,1535225
380,380,tedcruz,9/1/2016,591,791,,,,,,"""More reports of secret agreements with Iran more reasons the Iranian nuclear ""deal"" should be ripped to shreds: http:// mobile.reuters.com/article/idUSKC N1173LA "";;;;""771368420893859841"";https://twitter.com/tedcruz/status/771368420893859841",0.2,1535225
381,381,tedcruz,9/1/2016,911,1167,,,,,,"""Americans deserve an explanation of why the Obama admin is using their money not to fight terrorism but to fund it: http://www. nationalreview.com/article/439583 /iranian-ransom-illegal-maybe "";;;;""771342591484833793"";https://twitter.com/tedcruz/status/771342591484833793",0.0,1535225
382,382,tedcruz,8/31/2016,201,424,,,,"""771093220465926144""",https://twitter.com/tedcruz/status/771093220465926144,"""Good news for the Lone Star State: Texas' economic indicators point upward http:// m.chron.com/business/bizfe ed/article/Texas-economic-indicators-point-upward-Dallas-9192933.php """,0.45,1536485
383,383,tedcruz,8/31/2016,491,508,,,,"""771035373350903812""",https://twitter.com/tedcruz/status/771035373350903812,"""Congress must act before it's too late: https://www. conservativereview.com/commentary/201 6/08/congress-has-just-one-month-to-keep-the-internet-under-us-control """,-0.3,1536485
384,384,tedcruz,8/31/2016,236,278,,,#FullRepeal,"""771000827347468288""",https://twitter.com/tedcruz/status/771000827347468288,"""#FullRepeal : https://www. tedcruz.org/l/full-repeal- obamacare/  https:// twitter.com/AFPhq/status/7 70969380507136000 """,0.0,1536485
385,385,tedcruz,8/30/2016,161,297,,,#1,"""770748415575601152""",https://twitter.com/tedcruz/status/770748415575601152,"""Voting w/ their feet: Forbes' Fastest-Growing US Cities List features multiple Texas cities (including the #1 spot!) http:// www3.forbes.com/business/the-f astest-growing-u-s-cities-the-latest-numbers/ """,0.0,1535754
386,386,tedcruz,8/30/2016,282,412,,,#2A,"""770653566151168002""",https://twitter.com/tedcruz/status/770653566151168002,"""Stand with me to defend our #2A right to keep and bear arms: https://www. tedcruz.org/l/2a/ https:// twitter.com/tedcruz/status /770653421892358144 """,0.2857142857142857,1535754
387,387,tedcruz,8/30/2016,487,1056,,,#2A,"""770653421892358144""",https://twitter.com/tedcruz/status/770653421892358144,"""The Obama Administration works relentlessly to undermine #2A rights of law-abiding Americans. pic.twitter.com/SWifTreU15""",0.0,1535754
388,388,tedcruz,8/29/2016,578,755,,,,"""770390765331738629""",https://twitter.com/tedcruz/status/770390765331738629,"""Join us to stand for the rule of law and END sanctuary cities: https://www. tedcruz.org/l/end-sanctuar y-cities/  http:// triblive.com/opinion/editor ials/10991878-74/sanctuary-federal-alien  pic.twitter.com/yv4YhD8yPJ""",0.0,1535011
389,389,tedcruz,8/29/2016,507,535,,,,"""770320442812870656""",https://twitter.com/tedcruz/status/770320442812870656,"""President Obama's internet giveaway poses a great threat to our freedom and national security: http://www. wsj.com/articles/an-in ternet-giveaway-to-the-u-n-1472421165?mod=e2two """,0.8,1535011
390,390,tedcruz,8/29/2016,391,739,,,,,,"""I'm proud to endorse my friend @dbongino  in his bid for Florida's 19th CD: https://www. facebook.com/tedcruzpage/ph otos/a.495661567463.299907.69983322463/10154402323292464/  pic.twitter.com/fCvqJaUZ8O"";;@dbongino;;""770276903773011968"";https://twitter.com/tedcruz/status/770276903773011968",0.8,1535011
391,391,tedcruz,8/28/2016,429,444,,,#FullRepeal,"""769987688829255680""",https://twitter.com/tedcruz/status/769987688829255680,"""""Premiums are set to soar at the fastest pace we've witnessed premiums rise in more than a decade."" #FullRepeal http://www. foxbusiness.com/markets/2016/0 8/27/approved-obamacare-rate-hikes-in-7-states-point-toward-10-premium-increase-in-2017.html """,0.5,1534299
