,Unnamed: 0,id,date,text,favorites,retweets,reply_count,quote_count,sentiment_polarity,follower_count
400,400,6.98e+17,2/11/2016,b'It\xe2\x80\x99s Jeb\xe2\x80\x99s birthday today &amp; we couldn\xe2\x80\x99t resist sneaking the stache into his card. Wish him a happy bday! -Team Jeb https://t.co/2unSEFLUVn',321,121,,,0.8,457801
401,401,6.98e+17,2/11/2016,b'We must transform our education system so all children are prepared to succeed: https://t.co/FIL4puFg6R',122,48,,,0.0,457801
402,402,6.98e+17,2/11/2016,b'My policies will unleash higher wages and sustained 4% economic growth \xe2\x80\x94 all while reducing the deficit. https://t.co/qr6tnmD3qR',344,108,,,0.225,457801
403,403,6.98e+17,2/11/2016,"b'Economy under @POTUS: low growth, crony capitalism &amp; easy debt \n\nMy plan for economic growth: lower taxes, close loopholes &amp; reform tax code'",233,92,,,0.2111111111111111,457801
404,404,6.98e+17,2/11/2016,b'Proud to have these South Carolina volunteers on the team. Working hard last night making calls https://t.co/GhJwS2dZzS',296,92,,,-0.14583333333333334,457801
405,405,6.98e+17,2/10/2016,"b'Standing room only in Mount Pleasant. Thank you, all! https://t.co/QA4KUyUEIX'",235,79,,,0.36666666666666653,455669
406,406,6.98e+17,2/10/2016,"b'With the strongest ground game in the state \xe2\x80\x94 we\xe2\x80\x99re ready, South Carolina. Join the team today. https://t.co/chD5NG1mSi'",144,58,,,-0.1,455669
407,407,6.98e+17,2/10/2016,"b""As president, I won't cut &amp; run when the going gets tough. \n\nI'll stand by my word \xe2\x80\x94 that's leadership.\nhttps://t.co/pAqjhnlgZu""",186,84,,,-0.3888888888888889,455669
408,408,6.98e+17,2/10/2016,"b""By shifting power to the states we would put money back into Americans\xe2\x80\x99 pockets. My plan to restore states' rights \xe2\x86\x92 https://t.co/nmVuHg0Vve""",149,74,,,0.0,455669
409,409,6.97e+17,2/10/2016,"b'When it comes to experience, accomplishments and temperament, I\xe2\x80\x99m the candidate most fit to command and lead.\nhttps://t.co/VyODSzrO0m'",169,73,,,0.45,455669
410,410,6.97e+17,2/10/2016,b'South Carolina is Jeb Country https://t.co/C1TwNMlFL4',424,194,,,0.0,455669
411,411,6.97e+17,2/10/2016,"b"".@realDonaldTrump's \xe2\x80\x9csolutions\xe2\x80\x9d need to be challenged and so far I\xe2\x80\x99m the only candidate who has. WATCH:\nhttps://t.co/2zFhPhR5W4""",142,63,,,0.05,455669
412,412,6.97e+17,2/10/2016,b'Excited to be in South Carolina. \n\nJoin me at one of our events this week \xe2\x86\x92 https://t.co/SOr3G2cMe5',119,54,,,0.0,455669
413,413,6.97e+17,2/10/2016,b'My last visit to the Palmetto State was a good one. Check out highlights from the debate. WATCH:\nhttps://t.co/CQOhkFc4xg',97,41,,,0.35,455669
414,414,6.97e+17,2/10/2016,"b'Thank you for your help, Bruce! Lucky to have you &amp; your boys on the team. https://t.co/chPyKNmm4B'",130,45,,,0.3333333333333333,455669
415,415,6.97e+17,2/10/2016,"b""I\xe2\x80\x99m proud we made a difference in Florida. We are on the verge of the greatest time to be alive &amp; I'm ready to lead.\nhttps://t.co/sqp0f2Skmg""",178,66,,,0.525,455669
416,416,6.97e+17,2/10/2016,b'RT @Morning_Joe: .@JebBush on Trump and natl. security: To show my steadiness and his lack of steadiness is part of the process https://t.c\xe2\x80\xa6',0,56,,,0.0,455669
417,417,6.97e+17,2/10/2016,"b""RT @foxandfriends: .@JebBush: Other candidates prey on people's fears rather than showcase their skills to solve problems\nhttps://t.co/AhBI\xe2\x80\xa6""",0,87,,,-0.125,455669
418,418,6.97e+17,2/10/2016,b'Good morning South Carolina! Excited to get going. Will be on @CBSThisMorning&gt;@foxandfriends&gt;@Morning_Joe&gt;@NewDay https://t.co/pLNOSLVcdY',229,76,,,0.375,455669
419,419,6.97e+17,2/10/2016,"b'Thank you, New Hampshire. Off to South Carolina!\nhttps://t.co/AIHvKseG0p'",380,133,,,0.13636363636363635,455669
420,420,6.97e+17,2/10/2016,b'32 years in the private sector and 8 years turning the government upside down. \n\nThat\xe2\x80\x99s a proven record.\nhttps://t.co/kMRSLFYTML',262,118,,,-0.07777777777777779,455669
421,421,6.97e+17,2/9/2016,b'RT @LouImbriano: Get out and vote today. I think Jeb Bush is the right person for the job. #myvote. #vote ##vote2016 #Jeb #GoDo https://t.c\xe2\x80\xa6',0,38,,,0.2857142857142857,453156
422,422,6.97e+17,2/9/2016,b'RT @Melissa_Joy14: Bedford is #allinforJEB \xe2\x9d\x97\xef\xb8\x8f#cleareyesfullhearts https://t.co/nnpdjCc7kl',0,38,,,0.0,453156
423,423,6.97e+17,2/9/2016,"b'Only a couple more hours left to vote, Granite Staters. \n\nFind your polling location: https://t.co/KjJSigCAlt https://t.co/iXORhbK4iv'",136,58,,,0.25,453156
424,424,6.97e+17,2/9/2016,"b'In June, I pledged to run with heart &amp; run to win. Honored to have shared my optimistic message with New Hampshire.\nhttps://t.co/tWOnkagbIN'",174,82,,,0.4681818181818182,453156
425,425,6.97e+17,2/9/2016,b'RT @NoraBarre1: #AllInForJeb #Fitn #NHPrimary #nhpolitics https://t.co/lVh2TiIVib',0,34,,,0.0,453156
426,426,6.97e+17,2/9/2016,b'Today is an important day for NH &amp; the country. I hope to have your support to get our nation on the right track\nhttps://t.co/NNcdho5YQH',132,75,,,0.3428571428571429,453156
427,427,6.97e+17,2/9/2016,"b'RT @reginakeenan: Dear #NewHampshire,\n\nPlease vote @JebBush\nHe was my governor and he is awesome. \n\nSincerely,\nRegina\n\n#nhprimary \n#Jeb #Je\xe2\x80\xa6'",0,57,,,1.0,453156
428,428,6.97e+17,2/9/2016,b'During my 8 years as governor of Florida we didn\xe2\x80\x99t just mark time \xe2\x80\x94 we filled those years with hard work and real reform.',198,60,,,0.1027777777777778,453156
429,429,6.97e+17,2/9/2016,"b""Allison arrived undecided, but 5 minutes before entering one of Bedford's voting booths she made the right decision\nhttps://t.co/O0RFa7SJh8""",225,72,,,0.2857142857142857,453156
430,430,6.97e+17,2/9/2016,b'RT @kaeleygemmill: Go @JebBush go! Happy New Hampshire primary day \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc#AllinForJeb',0,28,,,0.4454545454545455,453156
431,431,6.97e+17,2/9/2016,b'Campaigning in New Hampshire has made me a better candidate and a better person.\nhttps://t.co/ffS8fv2lpN',174,72,,,0.3787878787878787,453156
432,432,6.97e+17,2/9/2016,"b'When it comes to my conservative record of accomplishments, the numbers speak for themselves.\nhttps://t.co/s9W0ADlckr'",133,68,,,0.0,453156
433,433,6.97e+17,2/9/2016,"b'As governor, I was a reform-minded conservative. My plan to lead in the same direction \xe2\x86\x92 https://t.co/VI4b2sEMC3 https://t.co/gBcKtwBZUG'",152,64,,,0.0,453156
434,434,6.97e+17,2/9/2016,b'Half a foot of snow didn\xe2\x80\x99t stop Portsmouth from joining last night\xe2\x80\x99s town hall. Thank you all for coming! https://t.co/BvLdkymog6',227,50,,,0.0,453156
435,435,6.97e+17,2/9/2016,"b""As governor, I challenged everything to improve the lives of Floridians. I'll take this same zeal for reform to DC.\nhttps://t.co/Cg5yMvs6Yn""",127,71,,,-0.25,453156
436,436,6.97e+17,2/9/2016,"b'Closing my time in New Hampshire the same way I began: giving it my all, speaking to every voter and being true to what I believe.'",413,139,,,0.1621212121212121,453156
437,437,6.97e+17,2/9/2016,b'RT @shonkori: Your tweet inspired me to sign up for #snapchat \nGREAT behind the scenes campaign footage. \n\n#Bush2016 https://t.co/dtLmsbFfRe',0,17,,,-0.4,453156
438,438,6.97e+17,2/9/2016,b'NEW VIDEO: Tomorrow New Hampshire votes for who they want as Commander-in-Chief and I hope you\xe2\x80\x99ll stand with me.\nhttps://t.co/I7qUou3U1J',194,100,,,0.13636363636363635,453156
439,439,6.97e+17,2/9/2016,"b'No other candidate has a more detailed &amp; conservative governing agenda. My plan for a safer, stronger, freer America:https://t.co/8JeBYrCFA9'",147,62,,,0.25833333333333336,453156
440,440,6.97e+17,2/9/2016,b'My plan for economic growth will restore the American dream for those who forgot what it looks like.\nhttps://t.co/HBsaMELW3L',139,69,,,0.1,453156
441,441,6.97e+17,2/8/2016,"b'I vetoed $2 billion in spending, cut taxes by $19 billion, created 1.3 million new jobs &amp; balanced 8 budgets.\n\nThat\xe2\x80\x99s a conservative record.'",476,169,,,0.13636363636363635,450669
